Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
ThinkPad_7588517,windows,i5-8250U1.6GHz睿频至3.4GHz,8GB,其它,256GB SSD,13.3英寸,5-8小时,约1.46kg,4999.00
ThinkPad_8025712,windows,i5-8250U1.6GHz睿频至3.4GHz,8GB,其它,512GB SSD,12.5英寸,5-8小时,约1.3kg,7699.00
ThinkPad_8596149,windows,Intel 第7代 酷睿i5-7200U2.5GHz睿频至3.1GHz,,500GB,,14.0英寸,5-8小时,约1.78kg,4499.00
ThinkPad_8596151,windows,Intel 第7代 酷睿i3-7020U2.3GHz,,500GB,,14.0英寸,5-8小时,约1.78kg,3299.00
三星_11404250423,windows,,,1TB,,15.6英寸,2-5小时,1.98Kg,2599.00
三星_11556091495,windows,Intel 第8代 酷睿i5-8250U2.5GHz,,500GB,128GB SSD,15.6英寸,2-5小时,1.98kg,3749.00
三星_29390608142,windows,,,500GB,,14.0英寸,5-8小时,1.8,3799.00
三星_7004220,windows,i5-8250U,,500GB,128GB SSD,15.6英寸,5-8小时,1.97kg,4799.00
三星_7004500,windows,3865U,,500GB,,15.6英寸,5-8小时,1.95kg,2599.00
三星_7005296,windows,i5-8250U1.6GHz,,1TB,128GB SSD,15.6英寸,5-8小时,1.97kg,4769.00
三星_7219095,windows,i5-8250U,,500GB,128GB SSD,15.6英寸,5-8小时,1.97kg,4199.00
三星_8249308,windows,i5-8250U,,无机械硬盘,256GB SSD,15.6英寸,5-8小时,1.97kg,4299.00
三星_8461429,windows,i5-8250U,,1TB,128GB SSD,15.6英寸,5-8小时,1.97kg,4399.00
华为_100001020297,windows,AMD 四核处理器AMD锐龙5 2500U移动处理器基准频率2.0GHz，最高频率3.6Ghz,8GB,其它,256GB SSD,14.0英寸,5-8小时,1.45kg,3999.00
华为_100001281764,windows,AMD 四核处理器AMD锐龙5 2500U移动处理器基准频率2.0GHz，最高频率3.6Ghz,8GB,其它,512GB SSD,14.0英寸,5-8小时,1.45kg,4699.00
华为_12704771446,windows,,,,,,,约640g（不带键盘）,6788.00
华为_12943624332,windows,Intel 第7代 酷睿,,无机械硬盘,256GB SSD,其它,>8小时,1.05kg,8588.00
华为_13020309101,windows,Intel 第8代 酷睿,8GB,其它,其它,15.6英寸,>8小时,约1.9KG,5236.00
华为_13886852041,windows,,,,,,,约640g（不带键盘）,7188.00
华为_19432986830,windows,,,,,,,,4988.00
华为_27116355738,windows,Intel 第8代 酷睿,8GB,无机械硬盘,256GB SSD,其它,5-8小时,约1.33kg,8555.00
华为_27116355740,windows,Intel 第8代 酷睿,8GB,无机械硬盘,256GB SSD,其它,5-8小时,约1.33kg,9855.00
华为_28694162118,windows,其它,,其它,256GB SSD,14.0英寸,其它,约1.47kg,4999.00
华为_28694162119,windows,其它,,其它,256GB SSD,14.0英寸,其它,约1.47kg,4999.00
华为_28975115707,windows,其它,,其它,256GB SSD,14.0英寸,其它,约1.47kg,3899.00
华为_31204952899,windows,AMD 四核处理器2.0GHz,,其它,,14.0英寸,5-8小时,0,4599.00
华为_33383855318,windows,,,其它,,其它,>8小时,1.03kg,6888.00
华为_4224161,windows,,,其它,256GB SSD,其它,>8小时,1.05kg,6188.00
华为_6023686,windows,,,其它,256GB SSD,15.6英寸,>8小时,1.9KG,5188.00
华为_6736180,windows,Intel 第8代 酷睿,,其它,256GB SSD,其它,>8小时,1.33kg,7988.00
华为_7042875,windows,,,,,,本地视频播放时间：约9小时,约640g（不带键盘）；约1100g（带键盘）,5988.00
华为_7275691,windows,"Intel 第8代 酷睿i7-8550U基频1.8GHz，单核4.0GHz，双核4.0GHz, 四核3.7GHz",8GB,其它,256GB SSD,14.0英寸,>8小时,1.47kg,5699.00
华为_7602800,windows,Intel 第8代 酷睿i7-8550U基频1.8GHz，睿频4.0GHz,8GB,其它,256GB SSD,14.0英寸,>8小时,1.47kg,5699.00
华为_8248028,windows,AMD 四核处理器AMD锐龙5 2500U移动处理器基准频率2.0GHz，最高频率3.6Ghz,8GB,其它,PCIe,14.0英寸,5-8小时,1.57kg,4599.00
华为_8603190,windows,Intel 第8代 酷睿,,其它,256GB SSD,15.6英寸,>8小时,1.9KG(约）,6488.00
华硕_100000018405,windows,Intel 第8代 酷睿i3-8130U2.2GHz,4GB,其它,(M.2 SATA3协议）,13.3英寸,5-8小时,约1.25kg,3499.00
华硕_100000158780,windows,Intel 第8代 酷睿i5-8250U1.6GHz,8GB,其它,512GB SSD,14.0英寸,5-8小时,约1.4Kg,5599.00
华硕_100001120978,windows,Intel 第8代 酷睿 i5-8265U1.6GHz,,其它,512GB SSD,14.0英寸,>8小时,约1.21kg,6999.00
华硕_11547179904,windows,酷睿双核2.5GHz,4GB,其它,,13.3英寸,5-8小时,0,4399.00
华硕_12275775824,windows,Intel 第8代 酷睿i7-8550U,4GB,1TB,,15.6英寸,"2-3小时, 具体时间视使用环境而定",0,4999.00
华硕_12275775844,windows,Intel 第8代 酷睿i7-8550U,8GB,1TB,,15.6英寸,"2-3小时, 具体时间视使用环境而定",0,4699.00
