Number,System,CPU,RAM,ROM,Solid,Screen,Time,Weight,Price
戴尔_18129650774,2,2,1,2,1,3,2,2,1
戴尔_22758613718,2,2,2,2,2,1,2,2,1
戴尔_24217778537,2,2,2,2,2,1,1,1,1
戴尔_24877362143,2,2,1,2,2,1,1,1,1
戴尔_25361143518,2,2,1,2,2,1,1,2,1
戴尔_26328940646,2,2,2,2,1,3,1,2,1
戴尔_5025849,2,2,2,2,4,1,3,2,2
戴尔_5050172,2,2,2,2,3,3,3,3,1
戴尔_5148237,2,3,2,2,3,2,3,2,1
戴尔_5834159,2,3,2,2,3,1,3,2,1
戴尔_5834211,2,3,2,2,4,1,3,2,1
戴尔_5911150,2,3,2,2,4,1,3,2,1
戴尔_7366054,2,3,3,2,4,3,3,3,3
戴尔_7615321,2,3,2,2,3,3,2,1,1
戴尔_7722185,2,3,1,2,1,3,1,1,1
神舟_10283640920,2,3,2,2,2,3,1,2,1
神舟_10313797239,2,3,2,2,2,3,1,2,1
神舟_10574479428,2,3,2,2,2,3,1,2,1
神舟_11160908395,2,2,2,2,2,3,1,2,1
神舟_11317415516,2,2,2,2,2,3,1,2,1
神舟_31992730245,2,2,1,1,1,3,1,2,1
神舟_7332727,2,2,2,2,3,3,1,3,1
神舟_7332737,2,1,2,2,3,3,1,2,1
神舟_7588487,2,2,2,2,3,3,1,1,2
联想_100000863175,2,2,2,2,3,1,2,1,1
联想_100000989041,2,2,2,2,3,3,2,1,1
联想_100001045546,2,2,2,2,4,1,2,1,1
联想_100001234926,2,2,2,2,4,3,2,1,1
联想_11944218359,2,2,2,2,2,3,1,1,1
联想_12302711109,2,1,2,3,3,3,2,2,1
联想_12798248043,2,2,2,2,2,3,1,2,1
联想_14496797469,2,3,2,3,2,3,2,2,1
联想_25720386302,2,2,2,2,2,3,1,2,1
联想_27282843418,2,1,2,3,3,3,3,2,1
联想_28316606259,2,2,2,2,3,3,1,2,1
联想_28471623939,2,2,2,2,3,1,2,1,1
联想_30395122556,2,2,2,2,2,3,1,2,1
联想_30927284918,2,2,1,2,2,2,1,1,1
联想_31002965997,2,2,1,2,2,2,1,1,1
联想_34053191393,2,1,1,2,2,2,1,1,1
联想_34867179538,2,2,2,2,3,1,2,1,1
联想_36241348300,2,3,2,2,3,1,3,1,1
联想_5751684,2,3,2,2,3,1,2,2,1
联想_6063599,2,3,1,2,1,3,1,1,1
联想_7102519,2,2,2,3,2,2,3,1,1
联想_7382114,2,2,2,2,4,2,1,1,1
联想_7423587,2,2,1,3,2,3,2,1,1
联想_7641843,2,2,2,2,3,2,1,1,1
联想_8674545,2,2,2,2,4,1,2,1,1
